VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2017-03-01 00:00:03,2017-03-01 00:17:29,1,4.50,1,N,114,181,1,16.5,0.5,0.5,3.55,0,0.3,21.35
1,2017-03-01 00:00:03,2017-03-01 00:10:12,2,1.20,1,N,211,148,2,8,0.5,0.5,0,0,0.3,9.3
2,2017-03-01 00:00:03,2017-03-01 00:09:55,1,1.73,1,N,230,143,1,9,0.5,0.5,2.06,0,0.3,12.36
2,2017-03-01 00:00:03,2017-03-01 00:08:34,2,1.58,1,N,90,144,1,8,0.5,0.5,1.86,0,0.3,11.16
1,2017-03-01 00:00:04,2017-03-01 00:07:51,1,1.40,1,N,162,186,2,7.5,0.5,0.5,0,0,0.3,8.8
1,2017-03-01 00:00:05,2017-03-01 00:22:10,4,9.80,1,N,138,163,2,29.5,0.5,0.5,0,5.54,0.3,36.34
1,2017-03-01 00:00:07,2017-03-01 00:12:35,1,3.70,1,N,162,226,1,13.5,0.5,0.5,2.95,0,0.3,17.75
1,2017-03-01 00:00:07,2017-03-01 00:27:43,1,10.30,1,N,138,141,1,32.5,0.5,0.5,7.85,5.54,0.3,47.19
1,2017-03-01 00:00:07,2017-03-01 00:09:41,1,1.40,1,N,114,234,2,8.5,0.5,0.5,0,0,0.3,9.8
1,2017-03-01 00:00:07,2017-03-01 00:13:00,1,3.50,1,N,125,50,1,13,0.5,0.5,3.55,0,0.3,17.85
1,2017-03-01 00:00:08,2017-03-01 00:07:26,3,.90,1,N,114,79,2,6.5,0.5,0.5,0,0,0.3,7.8
1,2017-03-01 00:00:08,2017-03-01 00:02:10,1,.40,1,N,237,141,1,3.5,0.5,0.5,1.2,0,0.3,6
2,2017-03-01 00:00:08,2017-03-01 00:03:29,1,.66,1,N,161,162,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2017-03-01 00:00:08,2017-03-01 00:25:29,1,14.90,1,N,132,226,1,41.5,0.5,0.5,7.2,0,0.3,50
1,2017-03-01 00:00:09,2017-03-01 00:07:15,1,1.40,1,N,163,48,1,7,0.5,0.5,2.05,0,0.3,10.35
1,2017-03-01 00:00:09,2017-03-01 00:11:12,1,4.00,1,N,263,79,1,12.5,0.5,0.5,2.75,0,0.3,16.55
2,2017-03-01 00:00:09,2017-03-01 00:00:19,1,.00,5,N,87,87,1,12,0,0,3.08,0,0.3,15.38
2,2017-03-01 00:00:09,2017-03-01 00:21:59,1,16.53,2,N,132,170,1,52,0,0.5,11.67,5.54,0.3,70.01
1,2017-03-01 00:00:18,2017-03-01 00:06:31,1,1.20,1,N,234,4,1,6.5,0.5,0.5,1,0,0.3,8.8
1,2017-03-01 00:00:10,2017-03-01 00:05:58,1,.90,1,N,234,107,1,6,0.5,0.5,0.73,0,0.3,8.03
1,2017-03-01 00:00:10,2017-03-01 00:02:53,2,1.00,1,N,74,75,1,5,0.5,0.5,1.25,0,0.3,7.55
2,2017-03-01 00:00:10,2017-03-01 00:06:47,1,1.54,1,N,48,90,1,7.5,0.5,0.5,1.25,0,0.3,10.05
2,2017-03-01 00:00:10,2017-03-01 00:15:02,1,4.33,1,N,170,24,1,14.5,0.5,0.5,3.16,0,0.3,18.96
2,2017-03-01 00:00:11,2017-03-01 00:16:34,6,2.79,1,N,114,230,2,13,0.5,0.5,0,0,0.3,14.3
2,2017-03-01 00:00:12,2017-03-01 00:06:04,1,1.17,1,N,161,186,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2017-03-01 00:00:12,2017-03-01 00:04:46,1,1.95,1,N,48,239,1,7,0.5,0.5,2.08,0,0.3,10.38
2,2017-03-01 00:00:13,2017-03-01 00:18:57,2,5.79,1,N,142,223,2,19,0.5,0.5,0,0,0.3,20.3
2,2017-03-01 00:00:14,2017-03-01 00:24:41,1,6.21,1,N,264,264,1,22.5,0.5,0.5,4.76,0,0.3,28.56
1,2017-03-01 00:00:15,2017-03-01 00:14:34,1,2.60,1,N,79,186,1,12,0.5,0.5,2.65,0,0.3,15.95
1,2017-03-01 00:00:15,2017-03-01 00:11:06,2,1.50,1,N,48,229,1,9,0.5,0.5,2.05,0,0.3,12.35
1,2017-03-01 00:00:15,2017-03-01 00:07:40,1,1.40,1,N,161,186,2,7,0.5,0.5,0,0,0.3,8.3
1,2017-03-01 00:00:15,2017-03-01 00:18:03,2,3.90,1,N,48,146,1,15.5,0.5,0.5,0,0,0.3,16.8
1,2017-03-01 00:00:15,2017-03-01 00:08:14,1,2.90,1,N,142,166,2,10,0.5,0.5,0,0,0.3,11.3
2,2017-03-01 00:00:15,2017-03-01 00:08:56,3,2.27,1,N,142,140,1,9,0.5,0.5,2.06,0,0.3,12.36
1,2017-03-01 00:00:16,2017-03-01 00:01:47,1,.60,1,N,68,68,1,4,0.5,0.5,1.3,0,0.3,6.6
2,2017-03-01 00:00:16,2017-03-01 00:27:54,1,17.33,2,N,132,237,1,52,0,0.5,8,0,0.3,60.8
2,2017-03-01 00:00:16,2017-03-01 00:08:16,1,2.29,1,N,158,261,1,9,0.5,0.5,2,0,0.3,12.3
2,2017-03-01 00:00:16,2017-03-01 00:19:28,2,14.63,1,N,132,223,1,39.5,0.5,0.5,5.5,0,0.3,46.3
